time,S1,S2,k1,compartment
0,0.00015,0,1,1
1,5.518191617571616e-05,9.481808382428421e-05,1,1
2,2.030029248549188e-05,0.0001296997075145087,1,1
3,7.468060255179566e-06,0.000142531939744821,1,1
4,2.747345833310112e-06,0.0001472526541666919,1,1
5,1.010692049862817e-06,0.0001489893079501391,1,1
6,3.718128264999529e-07,0.0001496281871735028,1,1
7,1.367822948331772e-07,0.0001498632177051692,1,1
8,5.03193941853767e-08,0.0001499496806058164,1,1
9,1.85114706130019e-08,0.0001499814885293881,1,1
10,6.809989464372708e-09,0.0001499931900105368,1,1
11,2.505255118536836e-09,0.0001499974947448827,1,1
12,9.216318529992289e-10,0.0001499990783681478,1,1
13,3.390494110471592e-10,0.0001499996609505897,1,1
14,1.247293078655357e-10,0.0001499998752706933,1,1
15,4.588534807527395e-11,0.0001499999541146529,1,1
16,1.688027620788886e-11,0.0001499999831197246,1,1
17,6.209906578177766e-12,0.0001499999937900945,1,1
18,2.284496961706894e-12,0.0001499999977155042,1,1
19,8.40419465630586e-13,0.0001499999991595816,1,1
20,3.091730433657819e-13,0.0001499999996908276,1,1
21,1.137384064186777e-13,0.0001499999998862623,1,1
22,4.184202139303355e-14,0.0001499999999581589,1,1
23,1.539281944755276e-14,0.0001499999999846081,1,1
24,5.662701816418622e-15,0.0001499999999943381,1,1
25,2.083191579744594e-15,0.0001499999999979177,1,1
26,7.663633542094926e-16,0.000149999999999234,1,1
27,2.819293224808611e-16,0.0001499999999997219,1,1
28,1.037160016041024e-16,0.0001499999999998931,1,1
29,3.815498471065369e-17,0.0001499999999999625,1,1
30,1.403643445326016e-17,0.0001499999999999625,1,1
31,5.163715662704927e-18,0.0001499999999999625,1,1
32,1.899624832364116e-18,0.0001499999999999625,1,1
33,6.988329217655059e-19,0.0001499999999999625,1,1
34,2.570862647313015e-19,0.0001499999999999625,1,1
35,9.457675140220464e-20,0.0001499999999999625,1,1
36,3.479284245365349e-20,0.0001499999999999625,1,1
37,1.279957143861612e-20,0.0001499999999999625,1,1
38,4.708699188072052e-21,0.0001499999999999625,1,1
39,1.732233625952371e-21,0.0001499999999999625,1,1
40,6.372531382937414e-22,0.0001499999999999625,1,1
41,2.344323284002496e-22,0.0001499999999999625,1,1
42,8.624283396440344e-23,0.0001499999999999625,1,1
43,3.172696556386622e-23,0.0001499999999999625,1,1
44,1.167169836170068e-23,0.0001499999999999625,1,1
45,4.293777870824091e-24,0.0001499999999999625,1,1
46,1.579592603633061e-24,0.0001499999999999625,1,1
47,5.810996443030683e-25,0.0001499999999999625,1,1
48,2.137746124111359e-25,0.0001499999999999625,1,1
49,7.864328495045028e-26,0.0001499999999999625,1,1
50,2.893124771945814e-26,0.0001499999999999625,1,1
51,1.064321124342677e-26,0.0001499999999999625,1,1
52,3.915418604501466e-27,0.0001499999999999625,1,1
53,1.44040200817627e-27,0.0001499999999999625,1,1
54,5.298942858301078e-28,0.0001499999999999625,1,1
55,1.949372137511194e-28,0.0001499999999999625,1,1
56,7.171339325827929e-29,0.0001499999999999625,1,1
57,2.638188303636377e-29,0.0001499999999999625,1,1
58,9.705352388467843e-30,0.0001499999999999625,1,1
59,3.570399613041476e-30,0.0001499999999999625,1,1
60,1.313476614404435e-30,0.0001499999999999625,1,1
61,4.83201042898862e-31,0.0001499999999999625,1,1
62,1.777597296350915e-31,0.0001499999999999625,1,1
63,6.539415000094397e-32,0.0001499999999999625,1,1
64,2.405716335822867e-32,0.0001499999999999625,1,1
65,8.85013581239528e-33,0.0001499999999999625,1,1
66,3.255783016955354e-33,0.0001499999999999625,1,1
67,1.19773563685301e-33,0.0001499999999999625,1,1
68,4.406223167566075e-34,0.0001499999999999625,1,1
69,1.620958916560873e-34,0.0001499999999999625,1,1
70,5.963174603862822e-35,0.0001499999999999625,1,1
71,2.19372934087679e-35,0.0001499999999999625,1,1
72,8.07027924003151e-36,0.0001499999999999625,1,1
73,2.968889816920285e-36,0.0001499999999999625,1,1
74,1.092193526748219e-36,0.0001499999999999625,1,1
75,4.017955442711994e-37,0.0001499999999999625,1,1
76,1.478123202916645e-37,0.0001499999999999625,1,1
77,5.437711378715188e-38,0.0001499999999999625,1,1
78,2.000422223253329e-38,0.0001499999999999625,1,1
79,7.359142095973758e-39,0.0001499999999999625,1,1
80,2.707277081768062e-39,0.0001499999999999625,1,1
81,9.959515799370817e-40,0.0001499999999999625,1,1
82,3.663901106610701e-40,0.0001499999999999625,1,1
83,1.347873891607373e-40,0.0001499999999999625,1,1
84,4.958550940140968e-41,0.0001499999999999625,1,1
85,1.824148948879183e-41,0.0001499999999999625,1,1
86,6.710668959271487e-42,0.0001499999999999625,1,1
87,2.468717146623339e-42,0.0001499999999999625,1,1
88,9.081902843101498e-43,0.0001499999999999625,1,1
89,3.341045342693513e-43,0.0001499999999999625,1,1
90,1.229101893598538e-43,0.0001499999999999625,1,1
91,4.521613177597925e-44,0.0001499999999999625,1,1
92,1.663408528968153e-44,0.0001499999999999625,1,1
93,6.119338000766133e-45,0.0001499999999999625,1,1
94,2.251178644061021e-45,0.0001499999999999625,1,1
95,8.281623415542549e-46,0.0001499999999999625,1,1
96,3.046638994102124e-46,0.0001499999999999625,1,1
97,1.120795850601413e-46,0.0001499999999999625,1,1
98,4.123177511865184e-47,0.0001499999999999625,1,1
99,1.516832238915627e-47,0.0001499999999999625,1,1
100,5.580113964031085e-48,0.0001499999999999625,1,1
